시군구,번지,단지명,전용면적,거래금액
경기도 부천시 괴안동,107-7,청수1차,78.89,"34,000"
경기도 부천시 괴안동,107-7,청수1차,78.89,"34,000"
경기도 부천시 괴안동,123-3,청수이지빌(202동),83.29,"39,000"
경기도 부천시 괴안동,91-1,청암(91-1)C동,50.76,"20,076"
경기도 부천시 괴안동,91-1,청암(91-1)C동,37.08,"19,800"
경기도 부천시 괴안동,91-1,청암(91-1)C동,50.76,"24,400"
경기도 부천시 괴안동,91-2,청암(91-2),56.61,"26,300"
경기도 부천시 괴안동,91-2,청암(91-2),56.61,"26,500"
경기도 부천시 괴안동,91-2,청암(91-2),56.61,"26,400"
경기도 부천시 괴안동,163-4,초원,80.34,"29,500"
경기도 부천시 괴안동,162-2,태송팰리채,59.99,"31,500"
경기도 부천시 괴안동,162-2,태송팰리채,59.99,"32,500"
경기도 부천시 괴안동,162-2,태송팰리채,73.82,"39,500"
경기도 부천시 괴안동,104,트윈파크,55.4428,"27,300"
경기도 부천시 괴안동,86,풍남,48.87,"14,900"
경기도 부천시 괴안동,110-24,하늘채아파트,55.17,"31,000"
경기도 부천시 괴안동,Mar-16,"한아름1차(가,나동)",34.83,"14,300"
경기도 부천시 괴안동,Mar-16,"한아름1차(가,나동)",34.83,"13,450"
경기도 부천시 괴안동,184,한아름5차,41.4,"15,900"
경기도 부천시 괴안동,184,한아름5차,41.4,"16,500"
경기도 부천시 괴안동,184,한아름5차,49.5,"19,000"
경기도 부천시 괴안동,112-9,한양,84.47,"34,500"
경기도 부천시 괴안동,88,현대(88-0),55.57,"16,000"
경기도 부천시 괴안동,105-4,현대1차,51.37,"33,800"
경기도 부천시 괴안동,105-3,현대2차,51.37,"34,800"
경기도 부천시 괴안동,105,현대3차,51.37,"33,000"
경기도 부천시 괴안동,산15,현대허니문,43.74,"12,700"
경기도 부천시 괴안동,산15,현대허니문,41.52,"13,700"
경기도 부천시 괴안동,산15,현대허니문,43.74,"14,000"
경기도 부천시 괴안동,산15,현대허니문,41.52,"12,900"
경기도 부천시 내동,352,계남랑데뷰,58.68,"31,500"
경기도 부천시 내동,292-7,대성파크빌,35.33,"10,800"
경기도 부천시 내동,54-4,서울,71.538,"26,500"
경기도 부천시 내동,349,서초,51.84,"15,850"
경기도 부천시 내동,349,서초,56.97,"14,000"
경기도 부천시 내동,348,신영,51,"12,500"
경기도 부천시 내동,348,신영,51,"14,200"
경기도 부천시 내동,345,이룸이루미,81.388,"29,300"
경기도 부천시 내동,345,이룸이루미,81.388,"28,500"
경기도 부천시 내동,345,이룸이루미,81.388,"29,500"
경기도 부천시 내동,01월 25일,하이트뷰아파트,52.64,"22,500"
경기도 부천시 내동,35-1,한일코지세상 A동,84.75,"40,500"
경기도 부천시 도당동,134-2,근화,55.8,"15,500"
경기도 부천시 도당동,134-2,근화,55.8,"15,800"
경기도 부천시 도당동,46-1,대화,41.4,"10,500"
경기도 부천시 도당동,46-1,대화,41.4,"11,200"
경기도 부천시 도당동,266-3,동신,59.69,"26,500"
경기도 부천시 도당동,266-3,동신,51.98,"20,000"
경기도 부천시 도당동,120,동아,57.87,"15,000"
경기도 부천시 도당동,120,동아,57.87,"16,200"
경기도 부천시 도당동,120,동아,57.87,"15,800"
경기도 부천시 도당동,62,미성하이츠(미성아파트),72.48,"24,000"
경기도 부천시 도당동,125,복사골2차,54.99,"16,600"
경기도 부천시 도당동,125,복사골2차,52.38,"15,500"
경기도 부천시 도당동,48,봉림,53.67,"14,700"
경기도 부천시 도당동,48,봉림,47.19,"13,500"
경기도 부천시 도당동,109,삼보,41.22,"13,500"
경기도 부천시 도당동,109,삼보,41.22,"13,300"
경기도 부천시 도당동,109,삼보,41.22,"13,300"
경기도 부천시 도당동,109,삼보,41.22,"11,250"
경기도 부천시 도당동,266-4,성원,49.73,"26,000"
경기도 부천시 도당동,266-4,성원,49.73,"28,500"
경기도 부천시 도당동,57-1,우남(57-1),52.11,"17,500"
경기도 부천시 도당동,57-1,우남(57-1),52.11,"16,000"
경기도 부천시 도당동,57-1,우남(57-1),58.86,"18,700"
경기도 부천시 도당동,69,우남2차,52.11,"16,200"
경기도 부천시 도당동,69,우남2차,59.22,"17,000"
경기도 부천시 도당동,92-11,주영홈타운103동,79.395,"34,300"
경기도 부천시 도당동,105-3,푸른솔,44.52,"13,500"
경기도 부천시 도당동,105-3,푸른솔,42.36,"13,500"
경기도 부천시 도당동,105-3,푸른솔,44.52,"12,400"
경기도 부천시 범박동,158,다청림,84.96,"36,300"
경기도 부천시 범박동,234-1,범박휴먼시아2단지,84.93,"54,000"
경기도 부천시 범박동,234-1,범박휴먼시아2단지,84.67,"60,000"
경기도 부천시 범박동,234-1,범박휴먼시아2단지,84.15,"53,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,39.69,"25,900"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,39.69,"26,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"46,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"48,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,75.84,"52,800"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"54,500"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"50,200"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,39.69,"25,950"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,122.8,"64,500"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,39.69,"26,200"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,122.8,"65,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,75.84,"59,100"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,84.49,"59,800"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,39.69,"26,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,122.8,"71,500"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"51,000"
경기도 부천시 범박동,154-2,부천 범박 힐스테이트1단지,59.95,"51,800"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"53,700"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"58,600"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"60,000"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"63,000"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"60,000"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"60,800"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"62,500"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"62,500"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"54,400"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"63,700"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,84.39,"60,500"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"64,800"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"62,800"
경기도 부천시 범박동,152-2,부천범박힐스테이트 4단지,99.61,"63,800"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,70.4,"52,000"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,70.4,"45,700"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,84.39,"54,700"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,84.39,"56,800"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,84.39,"59,000"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,70.4,"55,500"
경기도 부천시 범박동,150-2,부천범박힐스테이트 6단지,70.4,"53,500"
경기도 부천시 범박동,153-2,부천범박힐스테이트2단지,99.61,"50,000"
경기도 부천시 범박동,153-2,부천범박힐스테이트2단지,75.84,"60,000"
경기도 부천시 범박동,153-2,부천범박힐스테이트2단지,75.84,"59,000"
경기도 부천시 범박동,153-2,부천범박힐스테이트2단지,75.84,"60,000"
경기도 부천시 범박동,153-2,부천범박힐스테이트2단지,75.84,"59,300"
경기도 부천시 범박동,155-1,부천범박힐스테이트3단지,84.92,"54,000"
경기도 부천시 범박동,155-1,부천범박힐스테이트3단지,84.92,"61,500"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"72,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"67,000"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"71,800"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,140.94,"72,300"
경기도 부천시 범박동,151-2,부천범박힐스테이트5단지,122.8,"65,000"
