"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경기도 부천시 고강동","416-5","0416","0005","서울","46.62","202102","17","13,000","4","1987","역곡로482번길 149",""
"경기도 부천시 고강동","416-5","0416","0005","서울","46.62","202102","22","12,000","4","1987","역곡로482번길 149",""
"경기도 부천시 고강동","333-3","0333","0003","서원","52.38","202103","21","18,900","3","1986","원종로131번길 49",""
"경기도 부천시 고강동","407-6","0407","0006","선우","47.43","202101","19","17,000","3","1989","고리울로64번길 25-6",""
"경기도 부천시 고강동","407-6","0407","0006","선우","43.8","202102","26","15,000","2","1989","고리울로64번길 25-6",""
"경기도 부천시 고강동","382-2","0382","0002","아테온 아파트","69.49","202103","30","41,800","7","2020","역곡로496번길 58","20210401"
"경기도 부천시 고강동","333","0333","0000","오화","46.54","202102","16","15,000","5","1989","원종로119번길 54",""
"경기도 부천시 고강동","327-3","0327","0003","유호","47.78","202102","19","13,900","2","1989","수주로 26",""
"경기도 부천시 고강동","425-25","0425","0025","윤성","59.31","202101","26","16,000","2","1996","지양로158번길 63-9",""
"경기도 부천시 고강동","378","0378","0000","인성","50.57","202101","26","17,000","1","1986","고리울로27번길 7",""
"경기도 부천시 고강동","378","0378","0000","인성","40.95","202102","2","16,000","1","1986","고리울로27번길 7",""
"경기도 부천시 고강동","378","0378","0000","인성","56.61","202103","18","17,200","5","1986","고리울로27번길 7",""
"경기도 부천시 고강동","327","0327","0000","장미","59.58","202102","3","20,000","1","1986","수주로 30",""
"경기도 부천시 고강동","391-1","0391","0001","진영","40.17","202102","6","10,000","5","1987","역곡로490번길 93",""
"경기도 부천시 고강동","328","0328","0000","청광플러스원","84.91","202102","24","40,000","1","2010","원종로119번길 66",""
"경기도 부천시 고강동","367","0367","0000","현대","60.22","202101","23","18,000","1","1988","고리울로7번길 32",""
"경기도 부천시 고강동","367","0367","0000","현대","45.28","202102","9","16,700","5","1988","고리울로7번길 32",""
"경기도 부천시 고강동","367","0367","0000","현대","45.28","202102","16","15,400","4","1988","고리울로7번길 32",""
"경기도 부천시 고강동","367","0367","0000","현대","60.22","202102","19","19,500","3","1988","고리울로7번길 32",""
"경기도 부천시 고강동","409-5","0409","0005","홍익","48.45","202102","2","15,900","5","1989","고리울로74번길 6",""
"경기도 부천시 고강동","409-5","0409","0005","홍익","33.54","202102","10","14,000","4","1989","고리울로74번길 6",""
"경기도 부천시 고강동","409-5","0409","0005","홍익","48.45","202102","27","18,400","2","1989","고리울로74번길 6",""
"경기도 부천시 괴안동","161-24","0161","0024","DH벨트라움(161-24번지)","59.4345","202101","23","31,500","9","2017","안곡로 158",""
"경기도 부천시 괴안동","161-24","0161","0024","DH벨트라움(161-24번지)","59.205","202101","28","35,000","9","2017","안곡로 158",""
"경기도 부천시 괴안동","171-8","0171","0008","거산","67.38","202102","27","31,000","2","1992","범안로7번길 26",""
"경기도 부천시 괴안동","73-2","0073","0002","국경","42.24","202102","4","10,600","5","1988","범안로36번길 17",""
"경기도 부천시 괴안동","73-2","0073","0002","국경","39.36","202103","12","12,500","3","1988","범안로36번길 17",""
"경기도 부천시 괴안동","168-2","0168","0002","글래드빌","70.23","202103","13","41,500","4","2018","경인로 544",""
"경기도 부천시 괴안동","129","0129","0000","네오빌","27.26","202103","8","11,950","11","2002","경인로 528",""
"경기도 부천시 괴안동","70-6","0070","0006","대명 베르디움아파트","69.63","202101","4","36,900","8","2017","안곡로 33",""
"경기도 부천시 괴안동","120-12","0120","0012","대성","41.76","202102","5","13,600","4","1986","안곡로 117",""
"경기도 부천시 괴안동","171-6","0171","0006","대진","65.43","202101","16","34,300","1","1987","범안로 9",""
"경기도 부천시 괴안동","171-6","0171","0006","대진","60.21","202102","20","29,500","3","1987","범안로 9",""
"경기도 부천시 괴안동","171-6","0171","0006","대진","55.98","202103","22","30,000","5","1987","범안로 9",""
"경기도 부천시 괴안동","104-3","0104","0003","대현부안","47.49","202102","18","13,500","2","1986","경인로498번길 94",""
"경기도 부천시 괴안동","106-1","0106","0001","대현청실","55.08","202102","23","33,000","3","1987","부광로22번길 45",""
"경기도 부천시 괴안동","106-1","0106","0001","대현청실","49.68","202103","13","33,000","3","1987","부광로22번길 45",""
"경기도 부천시 괴안동","산14","0014","0000","덕림현대","44.8","202101","4","14,400","4","1987","범안로46번길 18",""
"경기도 부천시 괴안동","산14","0014","0000","덕림현대","44.8","202103","6","15,000","3","1987","범안로46번길 18",""
"경기도 부천시 괴안동","3-14","0003","0014","드라포레아파트","51.89","202103","29","40,000","9","2019","경인옛로 136",""
"경기도 부천시 괴안동","6-11","0006","0011","라온107","65.4332","202103","16","33,000","3","2019","경인옛로 107",""
"경기도 부천시 괴안동","40-2","0040","0002","리아아파트","62.91","202101","19","26,000","4","2016","범안로 10",""
"경기도 부천시 괴안동","40-2","0040","0002","리아아파트","62.91","202102","26","27,000","2","2016","범안로 10",""
"경기도 부천시 괴안동","171-10","0171","0010","모아","43.32","202101","2","16,700","3","1986","범안로7번길 58",""
"경기도 부천시 괴안동","171-10","0171","0010","모아","43.32","202102","19","18,500","1","1986","범안로7번길 58",""
"경기도 부천시 괴안동","171-10","0171","0010","모아","56.04","202102","26","20,000","5","1986","범안로7번길 58",""
"경기도 부천시 괴안동","171-10","0171","0010","모아","43.32","202103","23","19,850","2","1986","범안로7번길 58",""
"경기도 부천시 괴안동","171-10","0171","0010","모아","46.95","202103","27","20,000","5","1986","범안로7번길 58",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202101","10","10,900","3","1988","안곡로30번길 33","20210315"
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202101","21","10,200","5","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202101","30","11,000","4","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202102","3","11,900","2","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","44.64","202103","17","10,500","5","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202103","26","11,000","5","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","산16-7","0016","0007","복사골","41.445","202103","31","12,000","2","1988","안곡로30번길 33",""
"경기도 부천시 괴안동","171-18","0171","0018","복지","42.66","202101","16","16,900","4","1986","경인로484번길 28",""
"경기도 부천시 괴안동","171-18","0171","0018","복지","54.9","202101","20","24,500","5","1986","경인로484번길 28",""
"경기도 부천시 괴안동","171-18","0171","0018","복지","42.66","202101","23","18,400","3","1986","경인로484번길 28",""
"경기도 부천시 괴안동","171-18","0171","0018","복지","42.66","202103","16","16,400","1","1986","경인로484번길 28",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","70.41","202102","3","35,000","5","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","70.41","202102","15","34,000","9","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","70.41","202102","21","35,300","10","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","56.67","202103","5","27,800","8","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","56.67","202103","6","27,500","9","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","56.67","202103","15","26,800","2","1990","안곡로 4",""
"경기도 부천시 괴안동","204-1","0204","0001","삼익3차","109.35","202103","24","48,000","4","1990","안곡로 4",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","75.51","202101","5","38,800","2","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","42.93","202101","21","19,500","2","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","75.51","202101","22","36,000","5","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","75.51","202101","23","38,200","3","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","84.93","202102","5","39,500","4","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","75.51","202102","16","37,000","8","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","70.41","202102","17","34,800","10","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","70.41","202102","20","36,400","4","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","75.51","202102","20","37,200","9","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","42.93","202102","24","19,700","2","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","56.67","202102","24","27,300","5","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","42.93","202102","27","18,900","2","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","84.93","202102","27","39,000","1","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","42.93","202103","5","20,700","4","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","84.93","202103","6","38,500","2","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","84.93","202103","7","41,000","8","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","42.93","202103","9","19,800","11","1988","소안로 20",""
"경기도 부천시 괴안동","204-5","0204","0005","삼익세라믹","70.41","202103","27","36,000","4","1988","소안로 20",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","90.3","202101","2","44,700","9","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","59.64","202101","2","35,000","6","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","59.64","202101","10","35,200","10","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","84.75","202102","3","42,500","5","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","84.75","202102","17","47,800","7","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","59.64","202103","15","36,500","11","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","59.64","202103","17","36,300","9","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","59.64","202103","20","35,800","5","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","69.72","202103","22","43,500","11","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","99-1","0099","0001","신일해피트리","69.72","202103","25","43,000","4","2005","경인로484번길 68-7",""
"경기도 부천시 괴안동","187-5","0187","0005","신호","59.82","202101","4","23,900","4","1995","경인로562번길 13",""
"경기도 부천시 괴안동","99","0099","0000","아주","59.115","202101","11","27,900","1","1995","범안로21번길 39",""
"경기도 부천시 괴안동","99","0099","0000","아주","84.945","202103","29","40,900","1","1995","범안로21번길 39",""
"경기도 부천시 괴안동","167-10","0167","0010","역곡 푸르내 아파트","47.0862","202102","22","44,000","13","2020","범안로 28",""
"경기도 부천시 괴안동","167-10","0167","0010","역곡 푸르내 아파트","52.1019","202103","31","37,500","9","2020","범안로 28",""
"경기도 부천시 괴안동","128-2","0128","0002","역곡두진","84.96","202101","19","34,000","20","1998","경인로 527",""
"경기도 부천시 괴안동","128-2","0128","0002","역곡두진","84.96","202102","18","35,000","17","1998","경인로 527",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","63.76","202101","13","23,000","2","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","43.69","202101","22","14,900","9","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","52.33","202101","26","22,000","8","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","43.69","202101","30","14,400","3","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","52.33","202102","3","19,700","2","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","52.33","202102","9","21,000","8","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","52.33","202102","16","20,900","4","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","43.69","202103","13","15,000","2","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","63.76","202103","20","24,000","2","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","164-6","0164","0006","염광","63.76","202103","20","25,000","8","1989","안곡로16번길 47",""
"경기도 부천시 괴안동","268","0268","0000","이편한세상 온수역","59.9863","202101","11","80,000","22","2020","경인로 605",""
"경기도 부천시 괴안동","268","0268","0000","이편한세상 온수역","59.9863","202101","28","78,500","29","2020","경인로 605",""
"경기도 부천시 괴안동","268","0268","0000","이편한세상 온수역","59.9863","202101","30","80,000","5","2020","경인로 605",""
"경기도 부천시 괴안동","268","0268","0000","이편한세상 온수역","59.9863","202103","13","77,000","18","2020","경인로 605",""
"경기도 부천시 괴안동","268","0268","0000","이편한세상 온수역","59.9863","202103","14","81,800","15","2020","경인로 605",""
"경기도 부천시 괴안동","36","0036","0000","조공1차","50.355","202101","19","28,000","1","1984","경인옛로108번길 15",""
"경기도 부천시 괴안동","36","0036","0000","조공1차","61.275","202101","26","30,000","3","1984","경인옛로108번길 15",""
"경기도 부천시 괴안동","36","0036","0000","조공1차","61.275","202102","2","35,000","3","1984","경인옛로108번길 15",""
"경기도 부천시 괴안동","36","0036","0000","조공1차","50.355","202102","2","28,900","3","1984","경인옛로108번길 15",""
"경기도 부천시 괴안동","36","0036","0000","조공1차","61.275","202103","10","34,800","1","1984","경인옛로108번길 15",""
"경기도 부천시 괴안동","32","0032","0000","조공2차","78.156","202101","16","43,000","1","1985","안곡로 22",""
"경기도 부천시 괴안동","32","0032","0000","조공2차","78.156","202102","25","44,500","4","1985","안곡로 22",""
"경기도 부천시 괴안동","32","0032","0000","조공2차","69.819","202103","15","30,000","1","1985","안곡로 22",""
"경기도 부천시 괴안동","87-14","0087","0014","청송","43.7","202103","9","6,000","4","1987","범안로57번길 15",""
"경기도 부천시 괴안동","107-7","0107","0007","청수1차","80.67","202101","6","33,700","2","2006","부광로22번길 42",""
"경기도 부천시 괴안동","107-7","0107","0007","청수1차","78.89","202101","21","36,200","5","2006","부광로22번길 42",""
"경기도 부천시 괴안동","107-7","0107","0007","청수1차","78.89","202102","27","34,000","1","2006","부광로22번길 42",""
"경기도 부천시 괴안동","107-7","0107","0007","청수1차","78.89","202103","24","34,000","1","2006","부광로22번길 42",""
"경기도 부천시 괴안동","123-3","0123","0003","청수이지빌(202동)","83.29","202102","20","39,000","3","2007","부광로29번길 12",""
"경기도 부천시 괴안동","91-1","0091","0001","청암(91-1)C동","50.76","202102","5","20,076","5","1987","안곡로 53",""
"경기도 부천시 괴안동","91-1","0091","0001","청암(91-1)C동","37.08","202102","27","19,800","4","1987","안곡로 53",""
"경기도 부천시 괴안동","91-1","0091","0001","청암(91-1)C동","50.76","202103","25","24,400","5","1987","안곡로 53",""
"경기도 부천시 괴안동","91-2","0091","0002","청암(91-2)","56.61","202102","25","26,300","3","1987","안곡로 53",""
"경기도 부천시 괴안동","91-2","0091","0002","청암(91-2)","56.61","202103","5","26,500","1","1987","안곡로 53",""
"경기도 부천시 괴안동","91-2","0091","0002","청암(91-2)","56.61","202103","10","26,400","4","1987","안곡로 53",""
"경기도 부천시 괴안동","163-4","0163","0004","초원","80.34","202103","10","29,500","3","2001","안곡로149번길 16",""
"경기도 부천시 괴안동","162-2","0162","0002","태송팰리채","59.99","202101","23","31,500","2","2008","부광로41번길 64",""
